NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,HOURS_IA,HOURS_BDD,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_BEGINNER_IA,NUM_COURSES_BEGINNER_BDD,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,NUM_COURSES_ADVANCED_IA,NUM_COURSES_ADVANCED_BDD,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,AVG_SCORE_IA,AVG_SCORE_BDD,PROFILE,FAV_COURS,HAT_COURS
Stormy Muto,58283940,7,39,29,2.621780832,28.46993413,2,4,0,0,1,2,5,0,1,2,84,74,0,73.43544794,53.29271038,intermediate_backend,BACKEND,FRONTEND
Carlos Ferro,1357218,32,0,44,30.42285781,0,2,0,0,0,2,0,5,0,0,1,67,45,0,54.70305621,18.30413992,intermediate_datascience,DATASCIENCE,BDD
Robby Constantini,63212105,45,0,59,32.93972738,0,0,5,4,2,1,0,4,1,0,1,0,54,47,0,20.31885647,intermediate_frontend,FRONTEND,BDD
Paul Mckenny,23239851,36,19,28,21.55170543,12.6023321,0,5,7,0,2,0,5,3,0,2,0,71,89,0,30.23128147,intermediate_frontend,FRONTEND,IA
Jean Webb,72234478,61,78,38,9.517137067,37.60296887,6,11,0,2,2,4,3,0,2,1,66,85,0,21.79009671,53.13142661,intermediate_backend,BACKEND,IA
Emily Rushton,9116044,24,69,68,3.743868488,50.96140167,3,7,0,1,2,4,5,0,0,1,66,75,0,12.9698253,67.67223012,intermediate_backend,BACKEND,IA
Rosaria Copeland,59316838,54,52,12,3.136515057,49.98281086,4,3,0,2,1,5,9,0,2,2,87,51,0,41.2891246,48.5530617,intermediate_datascience,DATASCIENCE,FRONTEND
Curtis Rocha,49603646,0,42,13,0,4.894960884,0,5,5,1,1,0,5,3,1,1,0,74,67,0,48.41804401,intermediate_backend,BACKEND,DATASCIENCE
Billy Phagan,34468193,40,20,34,24.04460047,14.19135433,0,5,2,1,2,0,7,0,0,2,0,53,65,0,1.906192895,intermediate_frontend,FRONTEND,BDD
Lynn Diaz,29372594,27,117,2,19.1179596,26.95026621,0,4,0,1,1,0,7,4,0,1,0,40,3,0,16.29814538,intermediate_backend,BACKEND,FRONTEND
