NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,HOURS_IA,HOURS_BDD,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_BEGINNER_IA,NUM_COURSES_BEGINNER_BDD,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,NUM_COURSES_ADVANCED_IA,NUM_COURSES_ADVANCED_BDD,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,AVG_SCORE_IA,AVG_SCORE_BDD,NB_CLICKS_DATASCIENCE,NB_CLICKS_BACKEND,NB_CLICKS_FRONTEND,NB_CLICKS_IA,NB_CLICKS_BDD,ORIENTATION,FAV_COURS,HAT_COURS,PROFILE
Stormy Muto,58283940,7,39,29,2.621780832,28.46993413,2,4,0,0,1,2,5,0,1,2,84,74,0,73.43544794,53.29271038,32,238,268,12,131,PRACTICE,BACKEND,FRONTEND,intermediate_backend
Carlos Ferro,1357218,32,0,44,30.42285781,0,2,0,0,0,2,0,5,0,0,1,67,45,0,54.70305621,18.30413992,155,0,78,255,0,THEORY,DATASCIENCE,BDD,intermediate_datascience
Robby Constantini,63212105,45,0,59,32.93972738,0,0,5,4,2,1,0,4,1,0,1,0,54,47,0,20.31885647,204,0,323,1,0,THEORY,FRONTEND,BDD,intermediate_frontend
Paul Mckenny,23239851,36,19,28,21.55170543,12.6023321,0,5,7,0,2,0,5,3,0,2,0,71,89,0,30.23128147,282,88,119,204,91,PRACTICE,FRONTEND,IA,intermediate_frontend
Jean Webb,72234478,61,78,38,9.517137067,37.60296887,6,11,0,2,2,4,3,0,2,1,66,85,0,21.79009671,53.13142661,377,48,350,71,347,PRACTICE,BACKEND,IA,intermediate_backend
Emily Rushton,9116044,24,69,68,3.743868488,50.96140167,3,7,0,1,2,4,5,0,0,1,66,75,0,12.9698253,67.67223012,234,591,578,7,300,PRACTICE,BACKEND,IA,intermediate_backend
Rosaria Copeland,59316838,54,52,12,3.136515057,49.98281086,4,3,0,2,1,5,9,0,2,2,87,51,0,41.2891246,48.5530617,125,84,103,9,231,THEORY,DATASCIENCE,FRONTEND,intermediate_datascience
Curtis Rocha,49603646,0,42,13,0,4.894960884,0,5,5,1,1,0,5,3,1,1,0,74,67,0,48.41804401,0,189,110,0,35,PRACTICE,BACKEND,DATASCIENCE,intermediate_backend
Billy Phagan,34468193,40,20,34,24.04460047,14.19135433,0,5,2,1,2,0,7,0,0,2,0,53,65,0,1.906192895,81,186,184,189,49,PRACTICE,FRONTEND,BDD,intermediate_frontend
Lynn Diaz,29372594,27,117,2,19.1179596,26.95026621,0,4,0,1,1,0,7,4,0,1,0,40,3,0,16.29814538,191,514,15,73,83,THEORY,BACKEND,FRONTEND,intermediate_backend
Danny Wilkinson,69211796,51,38,27,1.049809209,15.75011564,0,4,0,0,1,0,5,2,0,2,0,38,41,0,4.933391609,42,233,62,0,59,THEORY,BACKEND,IA,intermediate_backend
Marc Ferris,34028847,39,52,34,37.82648423,1.708861741,2,4,4,0,2,1,5,5,0,1,69,65,73,52.95132824,36.28455768,269,487,294,150,0,PRACTICE,BACKEND,BDD,intermediate_backend
Monique Vaughn,87147288,28,44,16,23.30839394,5.979924821,3,2,5,2,2,0,4,4,1,0,41,40,76,0.607015279,15.81934697,32,233,43,147,45,THEORY,FRONTEND,BDD,intermediate_frontend
Laurie Ropers,28065441,74,36,41,15.71309419,11.51198241,2,5,2,1,1,3,4,2,2,0,52,77,66,45.0195446,56.79086784,492,77,77,100,96,THEORY,DATASCIENCE,IA,intermediate_datascience
Roberto Russell,13095342,69,40,18,12.54592274,13.67943221,4,3,5,2,2,4,7,6,1,2,40,82,78,0.118018468,49.29303777,333,84,89,91,91,THEORY,BACKEND,IA,intermediate_backend
Laura Tofil,81228144,46,102,44,8.436607453,91.75769208,7,9,3,1,2,5,3,3,2,1,69,94,50,31.1891008,17.18940471,267,215,148,34,724,THEORY,BACKEND,IA,intermediate_backend
Angela Boner,72893547,54,71,47,16.42908112,52.66871656,2,4,3,1,0,2,5,5,1,2,70,88,86,61.69425322,13.51056218,367,80,391,46,104,THEORY,BACKEND,BDD,intermediate_backend
Ursula Kuehnert,34472788,68,54,29,35.68343735,52.49788028,4,8,5,2,2,6,4,3,1,0,64,69,50,26.75181303,6.908960873,458,101,7,258,421,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
John Shear,41667523,18,48,10,7.775010336,28.7554325,2,4,5,2,0,3,7,0,1,0,82,75,57,61.96494571,55.69363472,82,307,66,42,101,PRACTICE,BACKEND,FRONTEND,intermediate_backend
John Tharp,83004498,47,46,53,13.68776959,11.11883168,3,5,3,2,1,4,3,1,0,0,66,60,51,26.59322704,19.92963195,388,17,517,27,2,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Alberto Cruz,29764891,65,27,27,39.77043816,8.846685808,1,7,5,2,1,4,6,4,0,0,63,55,62,53.60826325,24.21770286,442,203,54,274,7,PRACTICE,DATASCIENCE,BDD,intermediate_datascience
Lance Rochester,19728116,49,44,85,6.835199172,14.07278062,2,3,5,0,0,6,4,2,2,0,45,89,61,44.96535739,38.07914336,431,12,218,60,39,THEORY,FRONTEND,IA,intermediate_frontend
