NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,PROFILE
Stormy Muto,58283940,7,39,29,2,4,0,2,5,0,84,74,0,beginner_front_end
Carlos Ferro,1357218,32,0,44,2,0,0,0,5,0,67,45,0,beginner_front_end
Robby Constantini,63212105,45,0,59,0,5,4,0,4,1,0,54,47,advanced_front_end
Paul Mckenny,23239851,36,19,28,0,5,7,0,5,3,0,71,89,beginner_data_science
Jean Webb,72234478,61,78,38,6,11,0,4,3,0,66,85,0,advanced_front_end
Emily Rushton,9116044,24,69,68,3,7,0,4,5,0,66,75,0,advanced_front_end
Rosaria Copeland,59316838,54,52,12,4,3,0,5,9,0,87,51,0,beginner_backend
Curtis Rocha,49603646,0,42,13,0,5,5,0,5,3,0,74,67,beginner_backend
Billy Phagan,34468193,40,20,34,0,5,2,0,7,0,0,53,65,beginner_front_end
Lynn Diaz,29372594,27,117,2,0,4,0,0,7,4,0,40,3,beginner_front_end
Danny Wilkinson,69211796,51,38,27,0,4,0,0,5,2,0,38,41,beginner_front_end
Marc Ferris,34028847,39,52,34,2,4,4,1,5,5,69,65,73,beginner_backend
Monique Vaughn,87147288,28,44,16,3,2,5,0,4,4,41,40,76,beginner_data_science
Laurie Ropers,28065441,74,36,41,2,5,2,3,4,2,52,77,66,advanced_front_end
Roberto Russell,13095342,69,40,18,4,3,5,4,7,6,40,82,78,advanced_data_science
Laura Tofil,81228144,46,102,44,7,9,3,5,3,3,69,94,50,advanced_front_end
Angela Boner,72893547,54,71,47,2,4,3,2,5,5,70,88,86,beginner_backend
Ursula Kuehnert,34472788,68,54,29,4,8,5,6,4,3,64,69,50,advanced_front_end
John Shear,41667523,18,48,10,2,4,5,3,7,0,82,75,57,beginner_backend
John Tharp,83004498,47,46,53,3,5,3,4,3,1,66,60,51,beginner_front_end
Alberto Cruz,29764891,65,27,27,1,7,5,4,6,4,63,55,62,beginner_front_end
Lance Rochester,19728116,49,44,85,2,3,5,6,4,2,45,89,61,beginner_data_science
David Jared,36738892,34,68,43,7,3,6,3,6,0,51,58,63,advanced_data_science
Marcus Pettit,46839787,36,0,63,2,0,2,0,7,5,36,72,65,advanced_front_end
Mary Armand,55261852,0,13,13,2,5,2,3,3,5,84,60,61,beginner_backend
Concepcion Vorhies,5144540,37,57,28,5,3,5,4,1,4,80,70,70,advanced_backend
Charles Redman,21092358,49,51,31,5,2,5,3,7,3,59,65,72,beginner_backend
Juan Mitchell,84443850,19,43,25,2,3,5,2,3,6,70,83,61,beginner_backend
Joan Laird,99006866,85,8,30,7,4,7,1,3,2,39,84,71,advanced_data_science
Jamel Stewart,40005419,69,82,23,5,3,2,3,6,1,70,73,61,beginner_backend
Cheryl Minor,57558318,57,68,7,8,2,8,2,4,2,67,63,83,advanced_data_science
John Bell,78525239,16,60,54,4,2,4,7,6,7,60,70,79,advanced_backend
Stephen Bruno,40816958,76,0,24,5,6,5,3,3,3,63,55,65,beginner_front_end
Edward Lilley,10893158,15,60,71,3,6,1,2,5,1,72,69,57,advanced_front_end
Sharon Mosier,34313624,42,42,76,6,3,4,6,1,4,75,59,45,beginner_data_science
Albert Taft,17119385,90,31,73,4,6,8,3,7,0,47,40,62,beginner_front_end
Terrence Nieves,1415906,41,25,26,2,5,1,2,4,4,41,80,72,advanced_front_end
